audiopath,speaker_name,text,emotion,sensitivity
M028_contempt_level_3_003.txt.wav,M028,Will you tell me why.,contempt,3
M022_contempt_level_3_023.txt.wav,M022,Land based radar would help with this task.,contempt,3
W036_angry_level_1_053.txt.wav,W036,No the man was not drunk he wondered how he got tied up with this stranger.,angry,1
M034_happy_level_3_030.txt.wav,M034,The revolution now under way in materials handling makes this much easier.,happy,3
W038_surprised_level_3_030.txt.wav,W038,Salvation reconsidered.,surprised,3
M042_happy_level_1_019.txt.wav,M042,She found herself able to sing any role and any song which struck her fancy.,happy,1
M041_sad_level_2_042.txt.wav,M041,One even gave my little dog a biscuit.,sad,2
W018_sad_level_1_017.txt.wav,W018,American newspaper reviewers like to call his plays nihilistic.,sad,1
M011_surprised_level_1_021.txt.wav,M011,Todd placed top priority on getting his bike fixed.,surprised,1
M028_sad_level_3_003.txt.wav,M028,Will you tell me why.,sad,3
W016_fear_level_2_016.txt.wav,W016,Their props were two stepladders a chair and a palm fan.,fear,2
W037_happy_level_1_021.txt.wav,W037,Project development was proceeding too slowly.,happy,1
W009_surprised_level_1_021.txt.wav,W009,Todd placed top priority on getting his bike fixed.,surprised,1
W035_fear_level_2_008.txt.wav,W035,Tornado's often destroy acres of farm land.,fear,2
M025_angry_level_2_020.txt.wav,M025,Todd placed top priority on getting his bike fixed.,angry,2
M033_disgusted_level_2_004.txt.wav,M033,Don't do Charlie's dirty dishes.,disgusted,2
M027_happy_level_3_005.txt.wav,M027,The eastern coast is a place for pure pleasure and excitement.,happy,3
M013_happy_level_1_005.txt.wav,M013,The eastern coast is a place for pure pleasure and excitement.,happy,1
M041_fear_level_1_016.txt.wav,M041,His shoulder felt as if it were broken.,fear,1
M042_sad_level_3_051.txt.wav,M042,It was not whatever tale was told by tails.,sad,3
M041_contempt_level_1_008.txt.wav,M041,This was easy for us.,contempt,1
W024_happy_level_1_014.txt.wav,W024,When you're less fatigued things just naturally look brighter.,happy,1
M040_fear_level_2_016.txt.wav,M040,His shoulder felt as if it were broken.,fear,2
M005_fear_level_1_003.txt.wav,M005,Will you tell me why.,fear,1
W024_contempt_level_1_026.txt.wav,W024,The way is to rent a chauffeur driven car.,contempt,1
M029_surprised_level_2_011.txt.wav,M029,The viewpoint overlooked the ocean.,surprised,2
M041_fear_level_1_002.txt.wav,M041,Don't ask me to carry an oily rag like that.,fear,1
W035_disgusted_level_1_035.txt.wav,W035,One even gave my little dog a biscuit.,disgusted,1
M026_fear_level_1_009.txt.wav,M026,His shoulder felt as if it were broken.,fear,1
M040_fear_level_2_002.txt.wav,M040,Don't ask me to carry an oily rag like that.,fear,2
M005_fear_level_1_017.txt.wav,M005,This is a problem that goes considerably beyond questions of salary and tenure.,fear,1
W009_fear_level_1_021.txt.wav,W009,Todd placed top priority on getting his bike fixed.,fear,1
M009_angry_level_2_021.txt.wav,M009,One even gave my little dog a biscuit.,angry,2
M029_surprised_level_2_005.txt.wav,M029,His shoulder felt as if it were broken.,surprised,2
M027_fear_level_2_009.txt.wav,M027,His shoulder felt as if it were broken.,fear,2
M003_neutral_level_1_028.txt.wav,M003,The diagnosis was discouraging however he was not overly worried.,neutral,1
W037_surprised_level_1_044.txt.wav,W037,I'll have a scoop of that exotic purple and turquoise sherbet.,surprised,1
M033_disgusted_level_2_010.txt.wav,M033,Barb burned paper and leaves in a big bonfire.,disgusted,2
M027_happy_level_3_011.txt.wav,M027,That noise problem grows more annoying each day.,happy,3
M013_happy_level_1_011.txt.wav,M013,That noise problem grows more annoying each day.,happy,1
M028_sad_level_3_017.txt.wav,M028,American newspaper reviewers like to call his plays nihilistic.,sad,3
W016_fear_level_2_002.txt.wav,W016,Don't ask me to carry an oily rag like that.,fear,2
W037_happy_level_1_035.txt.wav,W037,Obviously the bridal pair has many adjustments to make to their new situation.,happy,1
M028_contempt_level_3_017.txt.wav,M028,One even gave my little dog a biscuit.,contempt,3
W036_angry_level_1_047.txt.wav,W036,His superiors had also preached this saying it was the way for eternal honor.,angry,1
W038_surprised_level_3_024.txt.wav,W038,Please dig my potatoes up before frost.,surprised,3
M034_happy_level_3_024.txt.wav,M034,Land based radar would help with this task.,happy,3
W033_fear_level_3_029.txt.wav,W033,I'll have a scoop of that exotic purple and turquoise sherbet.,fear,3
M041_sad_level_2_056.txt.wav,M041,No price is too high when true love is at stake.,sad,2
W018_sad_level_1_003.txt.wav,W018,Will you tell me why.,sad,1
M029_disgusted_level_3_006.txt.wav,M029,You're not living up to your own principles she told my discouraged people.,disgusted,3
M039_fear_level_2_002.txt.wav,M039,Don't ask me to carry an oily rag like that.,fear,2
W019_contempt_level_1_006.txt.wav,W019,Only lawyers love millionaires.,contempt,1
M028_angry_level_2_002.txt.wav,M028,Don't ask me to carry an oily rag like that.,angry,2
W035_contempt_level_2_007.txt.wav,W035,Are your grades higher or lower than Nancy's.,contempt,2
W033_fear_level_3_001.txt.wav,W033,She had your dark suit in greasy wash water all year.,fear,3
W021_neutral_level_1_064.txt.wav,W021,Land based radar would help with this task.,neutral,1
W028_contempt_level_3_041.txt.wav,W028,One even gave my little dog a biscuit.,contempt,3
M033_surprised_level_3_013.txt.wav,M033,The clumsy customer spilled some expensive perfume.,surprised,3
W021_happy_level_2_041.txt.wav,W021,One even gave my little dog a biscuit.,happy,2
M026_fear_level_1_021.txt.wav,M026,Todd placed top priority on getting his bike fixed.,fear,1
M041_contempt_level_1_034.txt.wav,M041,Can your insurance company aid you in reducing administrative costs.,contempt,1
M027_fear_level_2_021.txt.wav,M027,Todd placed top priority on getting his bike fixed.,fear,2
M037_surprised_level_1_008.txt.wav,M037,His shoulder felt as if it were broken.,surprised,1
M009_angry_level_2_009.txt.wav,M009,Nuclear rockets can destroy airfields with ease.,angry,2
M012_neutral_level_1_022.txt.wav,M012,The small boy put the worm on the hook.,neutral,1
W009_fear_level_1_009.txt.wav,W009,His shoulder felt as if it were broken.,fear,1
M024_surprised_level_1_017.txt.wav,M024,Properly used the present book is an excellent instrument of enlightenment.,surprised,1
W016_happy_level_1_016.txt.wav,W016,By that one feels that magnetic forces are as general as electrical forces.,happy,1
W038_disgusted_level_2_027.txt.wav,W038,Pretty soon a woman came along carrying a folded umbrella as a walking stick.,disgusted,2
W026_disgusted_level_1_002.txt.wav,W026,The small boy put the worm on the hook.,disgusted,1
M024_surprised_level_1_003.txt.wav,M024,Will you tell me why.,surprised,1
