caption,fname_1,fname_2,fname_3,fname_4,fname_5,fname_6,fname_7,fname_8,fname_9,fname_10
A man speaks with extreme contempt.,/workspace/jaeyoung/datasets/mm-tts-dataset/video_image_save/M012_contempt_level_3_021/0.jpg,/workspace/jaeyoung/datasets/mm-tts-dataset/video_image_save/M012_contempt_level_3_021/1.jpg,/workspace/jaeyoung/datasets/mm-tts-dataset/video_image_save/M033_contempt_level_3_004/0.jpg,/workspace/jaeyoung/datasets/mm-tts-dataset/video_image_save/M033_contempt_level_3_004/2.jpg,/workspace/jaeyoung/datasets/mm-tts-dataset/video_image_save/M035_contempt_level_3_014/0.jpg,/workspace/jaeyoung/datasets/mm-tts-dataset/video_image_save/M033_contempt_level_3_003/0.jpg,/workspace/jaeyoung/datasets/mm-tts-dataset/video_image_save/M033_contempt_level_3_004/1.jpg,/workspace/jaeyoung/datasets/mm-tts-dataset/video_image_save/M035_contempt_level_3_014/1.jpg,/workspace/jaeyoung/datasets/mm-tts-dataset/video_image_save/M030_contempt_level_2_025/3.jpg,/workspace/jaeyoung/datasets/mm-tts-dataset/video_image_save/M042_sad_level_3_019/0.jpg
A man speaks with extreme contempt.,/workspace/jaeyoung/datasets/mm-tts-dataset/video_image_save/M012_contempt_level_3_021/0.jpg,/workspace/jaeyoung/datasets/mm-tts-dataset/video_image_save/M012_contempt_level_3_021/1.jpg,/workspace/jaeyoung/datasets/mm-tts-dataset/video_image_save/M033_contempt_level_3_004/0.jpg,/workspace/jaeyoung/datasets/mm-tts-dataset/video_image_save/M033_contempt_level_3_004/2.jpg,/workspace/jaeyoung/datasets/mm-tts-dataset/video_image_save/M035_contempt_level_3_014/0.jpg,/workspace/jaeyoung/datasets/mm-tts-dataset/video_image_save/M033_contempt_level_3_003/0.jpg,/workspace/jaeyoung/datasets/mm-tts-dataset/video_image_save/M033_contempt_level_3_004/1.jpg,/workspace/jaeyoung/datasets/mm-tts-dataset/video_image_save/M035_contempt_level_3_014/1.jpg,/workspace/jaeyoung/datasets/mm-tts-dataset/video_image_save/M030_contempt_level_2_025/3.jpg,/workspace/jaeyoung/datasets/mm-tts-dataset/video_image_save/M042_sad_level_3_019/0.jpg
A woman speaks with slight anger.,/workspace/jaeyoung/datasets/mm-tts-dataset/video_image_save/W016_angry_level_2_027/0.jpg,/workspace/jaeyoung/datasets/mm-tts-dataset/video_image_save/W016_angry_level_2_027/2.jpg,/workspace/jaeyoung/datasets/mm-tts-dataset/video_image_save/W016_angry_level_2_027/1.jpg,/workspace/jaeyoung/datasets/mm-tts-dataset/video_image_save/W016_angry_level_1_010/2.jpg,/workspace/jaeyoung/datasets/mm-tts-dataset/video_image_save/W016_angry_level_2_027/3.jpg,/workspace/jaeyoung/datasets/mm-tts-dataset/video_image_save/W016_angry_level_1_010/0.jpg,/workspace/jaeyoung/datasets/mm-tts-dataset/video_image_save/W015_disgusted_level_2_020/3.jpg,/workspace/jaeyoung/datasets/mm-tts-dataset/video_image_save/W009_angry_level_1_002/1.jpg,/workspace/jaeyoung/datasets/mm-tts-dataset/video_image_save/W016_angry_level_1_017/0.jpg,/workspace/jaeyoung/datasets/mm-tts-dataset/video_image_save/W037_angry_level_1_007/1.jpg
A man speaks with extreme happiness.,/workspace/jaeyoung/datasets/mm-tts-dataset/video_image_save/M034_happy_level_2_024/2.jpg,/workspace/jaeyoung/datasets/mm-tts-dataset/video_image_save/M034_happy_level_2_024/0.jpg,/workspace/jaeyoung/datasets/mm-tts-dataset/video_image_save/M042_happy_level_3_003/1.jpg,/workspace/jaeyoung/datasets/mm-tts-dataset/video_image_save/M028_happy_level_3_024/2.jpg,/workspace/jaeyoung/datasets/mm-tts-dataset/video_image_save/M022_happy_level_2_010/1.jpg,/workspace/jaeyoung/datasets/mm-tts-dataset/video_image_save/M028_happy_level_3_023/0.jpg,/workspace/jaeyoung/datasets/mm-tts-dataset/video_image_save/M022_happy_level_2_010/2.jpg,/workspace/jaeyoung/datasets/mm-tts-dataset/video_image_save/M042_happy_level_2_057/0.jpg,/workspace/jaeyoung/datasets/mm-tts-dataset/video_image_save/M022_happy_level_1_027/7.jpg,/workspace/jaeyoung/datasets/mm-tts-dataset/video_image_save/M032_happy_level_3_001/0.jpg
A woman speaks with extreme surprise.,/workspace/jaeyoung/datasets/mm-tts-dataset/video_image_save/W025_fear_level_3_026/0.jpg,/workspace/jaeyoung/datasets/mm-tts-dataset/video_image_save/W025_fear_level_3_026/1.jpg,/workspace/jaeyoung/datasets/mm-tts-dataset/video_image_save/W029_surprised_level_3_044/1.jpg,/workspace/jaeyoung/datasets/mm-tts-dataset/video_image_save/W026_surprised_level_3_031/0.jpg,/workspace/jaeyoung/datasets/mm-tts-dataset/video_image_save/W029_surprised_level_3_044/3.jpg,/workspace/jaeyoung/datasets/mm-tts-dataset/video_image_save/W029_surprised_level_3_044/2.jpg,/workspace/jaeyoung/datasets/mm-tts-dataset/video_image_save/W036_fear_level_3_009/1.jpg,/workspace/jaeyoung/datasets/mm-tts-dataset/video_image_save/W040_surprised_level_3_037/3.jpg,/workspace/jaeyoung/datasets/mm-tts-dataset/video_image_save/W033_fear_level_2_022/2.jpg,/workspace/jaeyoung/datasets/mm-tts-dataset/video_image_save/W014_surprised_level_2_001/0.jpg
A man speaks with slight happiness.,/workspace/jaeyoung/datasets/mm-tts-dataset/video_image_save/M041_happy_level_1_019/0.jpg,/workspace/jaeyoung/datasets/mm-tts-dataset/video_image_save/M032_neutral_level_1_015/2.jpg,/workspace/jaeyoung/datasets/mm-tts-dataset/video_image_save/M029_contempt_level_1_006/0.jpg,/workspace/jaeyoung/datasets/mm-tts-dataset/video_image_save/M041_happy_level_1_019/3.jpg,/workspace/jaeyoung/datasets/mm-tts-dataset/video_image_save/M003_happy_level_2_007/1.jpg,/workspace/jaeyoung/datasets/mm-tts-dataset/video_image_save/M027_happy_level_2_020/2.jpg,/workspace/jaeyoung/datasets/mm-tts-dataset/video_image_save/M029_contempt_level_1_006/1.jpg,/workspace/jaeyoung/datasets/mm-tts-dataset/video_image_save/M019_happy_level_1_015/0.jpg,/workspace/jaeyoung/datasets/mm-tts-dataset/video_image_save/M022_happy_level_1_018/0.jpg,/workspace/jaeyoung/datasets/mm-tts-dataset/video_image_save/M034_happy_level_1_013/0.jpg
A man speaks with moderately sad.,/workspace/jaeyoung/datasets/mm-tts-dataset/video_image_save/M033_sad_level_3_013/1.jpg,/workspace/jaeyoung/datasets/mm-tts-dataset/video_image_save/M032_sad_level_2_008/4.jpg,/workspace/jaeyoung/datasets/mm-tts-dataset/video_image_save/M032_sad_level_2_008/6.jpg,/workspace/jaeyoung/datasets/mm-tts-dataset/video_image_save/M032_sad_level_2_008/5.jpg,/workspace/jaeyoung/datasets/mm-tts-dataset/video_image_save/M029_contempt_level_2_009/0.jpg,/workspace/jaeyoung/datasets/mm-tts-dataset/video_image_save/M037_sad_level_1_019/1.jpg,/workspace/jaeyoung/datasets/mm-tts-dataset/video_image_save/M024_sad_level_2_009/4.jpg,/workspace/jaeyoung/datasets/mm-tts-dataset/video_image_save/M032_sad_level_2_008/0.jpg,/workspace/jaeyoung/datasets/mm-tts-dataset/video_image_save/M024_sad_level_1_006/3.jpg,/workspace/jaeyoung/datasets/mm-tts-dataset/video_image_save/M032_sad_level_2_008/3.jpg
A woman speaks with slightly sad.,/workspace/jaeyoung/datasets/mm-tts-dataset/video_image_save/W019_sad_level_1_008/4.jpg,/workspace/jaeyoung/datasets/mm-tts-dataset/video_image_save/W019_sad_level_1_008/3.jpg,/workspace/jaeyoung/datasets/mm-tts-dataset/video_image_save/W024_sad_level_1_030/3.jpg,/workspace/jaeyoung/datasets/mm-tts-dataset/video_image_save/W024_sad_level_1_030/2.jpg,/workspace/jaeyoung/datasets/mm-tts-dataset/video_image_save/W024_sad_level_1_030/1.jpg,/workspace/jaeyoung/datasets/mm-tts-dataset/video_image_save/W019_sad_level_1_008/2.jpg,/workspace/jaeyoung/datasets/mm-tts-dataset/video_image_save/W024_sad_level_1_030/4.jpg,/workspace/jaeyoung/datasets/mm-tts-dataset/video_image_save/W036_sad_level_2_050/2.jpg,/workspace/jaeyoung/datasets/mm-tts-dataset/video_image_save/W019_sad_level_1_008/1.jpg,/workspace/jaeyoung/datasets/mm-tts-dataset/video_image_save/W024_sad_level_1_030/0.jpg
A man speaks with slight surprise.,/workspace/jaeyoung/datasets/mm-tts-dataset/video_image_save/M039_surprised_level_3_024/1.jpg,/workspace/jaeyoung/datasets/mm-tts-dataset/video_image_save/M028_surprised_level_1_005/1.jpg,/workspace/jaeyoung/datasets/mm-tts-dataset/video_image_save/M028_surprised_level_1_005/0.jpg,/workspace/jaeyoung/datasets/mm-tts-dataset/video_image_save/M030_surprised_level_1_019/0.jpg,/workspace/jaeyoung/datasets/mm-tts-dataset/video_image_save/M030_surprised_level_2_011/1.jpg,/workspace/jaeyoung/datasets/mm-tts-dataset/video_image_save/M030_surprised_level_1_019/1.jpg,/workspace/jaeyoung/datasets/mm-tts-dataset/video_image_save/M026_surprised_level_1_010/0.jpg,/workspace/jaeyoung/datasets/mm-tts-dataset/video_image_save/M030_surprised_level_1_019/2.jpg,/workspace/jaeyoung/datasets/mm-tts-dataset/video_image_save/M030_surprised_level_1_026/2.jpg,/workspace/jaeyoung/datasets/mm-tts-dataset/video_image_save/M030_surprised_level_1_019/4.jpg
A man speaks with extremely sad.,/workspace/jaeyoung/datasets/mm-tts-dataset/video_image_save/M032_sad_level_2_008/6.jpg,/workspace/jaeyoung/datasets/mm-tts-dataset/video_image_save/M005_sad_level_3_017/3.jpg,/workspace/jaeyoung/datasets/mm-tts-dataset/video_image_save/M005_sad_level_3_028/2.jpg,/workspace/jaeyoung/datasets/mm-tts-dataset/video_image_save/M005_sad_level_3_028/0.jpg,/workspace/jaeyoung/datasets/mm-tts-dataset/video_image_save/M013_sad_level_3_011/1.jpg,/workspace/jaeyoung/datasets/mm-tts-dataset/video_image_save/M024_sad_level_2_009/2.jpg,/workspace/jaeyoung/datasets/mm-tts-dataset/video_image_save/M024_sad_level_2_009/4.jpg,/workspace/jaeyoung/datasets/mm-tts-dataset/video_image_save/M005_sad_level_3_017/2.jpg,/workspace/jaeyoung/datasets/mm-tts-dataset/video_image_save/M032_sad_level_2_008/4.jpg,/workspace/jaeyoung/datasets/mm-tts-dataset/video_image_save/M005_sad_level_3_028/4.jpg
