caption,fname_1,fname_2,fname_3,fname_4,fname_5,fname_6,fname_7,fname_8,fname_9,fname_10
A man speaks with extreme contempt.,M042_contempt_level_2_035.wav,M034_contempt_level_3_002.wav,M032_contempt_level_3_008.wav,M019_contempt_level_3_007.wav,M022_contempt_level_3_005.wav,M026_contempt_level_3_010.wav,M042_contempt_level_1_041.wav,M026_contempt_level_3_004.wav,M005_contempt_level_3_020.wav,M032_contempt_level_3_020.wav
A man speaks with extreme contempt.,M042_contempt_level_2_035.wav,M034_contempt_level_3_002.wav,M032_contempt_level_3_008.wav,M019_contempt_level_3_007.wav,M022_contempt_level_3_005.wav,M026_contempt_level_3_010.wav,M042_contempt_level_1_041.wav,M026_contempt_level_3_004.wav,M005_contempt_level_3_020.wav,M032_contempt_level_3_020.wav
A woman speaks with slight anger.,W019_angry_level_1_026.wav,W016_angry_level_1_017.wav,W009_angry_level_2_009.wav,W023_angry_level_1_027.wav,W029_angry_level_1_023.wav,W037_angry_level_1_008.wav,W037_angry_level_1_034.wav,W011_angry_level_1_025.wav,W037_angry_level_2_040.wav,W024_angry_level_1_001.wav
A man speaks with extreme happiness.,M022_happy_level_3_002.wav,M033_happy_level_2_021.wav,M033_happy_level_3_030.wav,M009_happy_level_3_025.wav,M003_happy_level_3_008.wav,M012_happy_level_3_007.wav,M031_happy_level_3_023.wav,M009_happy_level_3_019.wav,M012_happy_level_3_013.wav,M027_happy_level_3_023.wav
A woman speaks with extreme surprise.,W011_surprised_level_3_012.wav,W036_surprised_level_3_036.wav,W033_surprised_level_3_051.wav,W025_surprised_level_3_001.wav,W036_surprised_level_3_022.wav,W016_surprised_level_3_002.wav,W018_surprised_level_3_022.wav,W040_surprised_level_3_007.wav,W033_surprised_level_3_045.wav,W024_surprised_level_3_030.wav
A man speaks with slight happiness.,M023_happy_level_1_026.wav,M024_happy_level_1_014.wav,M028_happy_level_2_003.wav,M033_happy_level_2_009.wav,M029_happy_level_1_022.wav,M005_happy_level_1_023.wav,M022_happy_level_2_013.wav,M030_happy_level_1_013.wav,M032_happy_level_1_028.wav,M009_happy_level_2_020.wav
A man speaks with moderately sad.,M031_sad_level_2_008.wav,M037_sad_level_3_021.wav,M029_sad_level_2_009.wav,M005_sad_level_2_002.wav,M030_sad_level_2_009.wav,M033_sad_level_2_023.wav,M028_sad_level_2_008.wav,M009_sad_level_1_010.wav,M039_sad_level_2_041.wav,M037_sad_level_2_030.wav
A woman speaks with slightly sad.,W019_sad_level_1_024.wav,W018_sad_level_1_019.wav,W028_sad_level_1_014.wav,W035_sad_level_1_007.wav,W025_sad_level_2_007.wav,W029_sad_level_1_029.wav,W019_sad_level_1_018.wav,W029_sad_level_1_001.wav,W033_sad_level_1_003.wav,W040_sad_level_1_051.wav
A man speaks with slight surprise.,M005_surprised_level_1_008.wav,M042_neutral_level_1_049.wav,M023_surprised_level_1_021.wav,M005_surprised_level_1_020.wav,M007_surprised_level_2_023.wav,M022_surprised_level_1_010.wav,M003_surprised_level_1_029.wav,M041_surprised_level_1_023.wav,M024_surprised_level_1_019.wav,M003_surprised_level_1_001.wav
A man speaks with extremely sad.,M034_sad_level_2_026.wav,M034_sad_level_3_023.wav,M030_sad_level_3_030.wav,M033_sad_level_3_026.wav,M029_sad_level_3_024.wav,M030_sad_level_3_024.wav,M005_sad_level_3_013.wav,M019_sad_level_3_029.wav,M003_sad_level_3_017.wav,M003_sad_level_3_003.wav
